"Name","InterfaceDescription","LinkSpeed","Status"
"ZeroTier One [2873fd00f248c740]","ZeroTier Virtual Port","100 Mbps","Up"
"Ethernet 2","VirtualBox Host-Only Ethernet Adapter","1 Gbps","Up"
"Local Area Connection 2","TAP-Windows Adapter V9","1 Gbps","Disconnected"
"vEthernet (New Virtual Switch) 2","Hyper-V Virtual Ethernet Adapter #3","10 Gbps","Disconnected"
"vEthernet (Default Switch)","Hyper-V Virtual Ethernet Adapter","10 Gbps","Up"
"Ethernet","Killer E3100G 2.5 Gigabit Ethernet Controller","100 Mbps","Up"
"WiFi","Killer(R) Wi-Fi 6E AX1675x 160MHz Wireless Network Adapter (210NGW)","0 bps","Disconnected"
"Local Area Connection","TAP-NordVPN Windows Adapter V9","0 bps","Not Present"
"Bluetooth Network Connection","Bluetooth Device (Personal Area Network)","3 Mbps","Disconnected"
"Tailscale","Tailscale Tunnel","100 Gbps","Up"
"OpenVPN Data Channel Offload for NordVPN","OpenVPN Data Channel Offload","1 Gbps","Disconnected"
"vEthernet (New Virtual Switch)","Hyper-V Virtual Ethernet Adapter #2","100 Mbps","Up"
"Network Bridge","Microsoft Network Adapter Multiplexor Driver","0 bps","Disconnected"
