"DisplayName","DisplayValue"
"Energy-Efficient Ethernet","Disabled"
"Flow Control","Rx & Tx Enabled"
"Interrupt Moderation","Enabled"
"IPv4 Checksum Offload","Rx & Tx Enabled"
"Jumbo Frame","Disabled"
"Large Send Offload v2 (IPv4)","Enabled"
"Large Send Offload v2 (IPv6)","Enabled"
"ARP Offload","Enabled"
"NS Offload","Enabled"
"Priority & VLAN","Priority & VLAN Enabled"
"Receive Buffers","1024"
"Speed & Duplex","Auto Negotiation"
"TCP Checksum Offload (IPv4)","Rx & Tx Enabled"
"TCP Checksum Offload (IPv6)","Rx & Tx Enabled"
"Transmit Buffers","512"
"UDP Checksum Offload (IPv4)","Rx & Tx Enabled"
"UDP Checksum Offload (IPv6)","Rx & Tx Enabled"
"Wake on Magic Packet","Enabled"
"Wake on pattern match","Enabled"
"Advanced EEE","Disabled"
"EEE Max Support Speed","1.0 Gbps Full Duplex"
"Green Ethernet","Enabled"
"Gigabit Lite","Enabled"
"Network Address",
"Power Saving Mode","Enabled"
"VLAN ID","0"
"Shutdown Wake-On-Lan","Enabled"
"WOL & Shutdown Link Speed","10 Mbps First"
