"ComponentID","DisplayName","Enabled"
"MS_NDISPROT","HTC NDIS Protocol Driver","False"
"ms_rspndr","Link-Layer Topology Discovery Responder","False"
"vms_pp","Hyper-V Extensible Virtual Switch","True"
"ms_implat","Microsoft Network Adapter Multiplexor Protocol","False"
"ms_tcpip","Internet Protocol Version 4 (TCP/IPv4)","False"
"ms_msclient","Client for Microsoft Networks","False"
"ms_server","File and Printer Sharing for Microsoft Networks","False"
"ms_lltdio","Link-Layer Topology Discovery Mapper I/O Driver","False"
"ms_lldp","Microsoft LLDP Protocol Driver","True"
"ms_tcpip6","Internet Protocol Version 6 (TCP/IPv6)","False"
"INSECURE_NPCAP","Npcap Packet Driver (NPCAP)","False"
"oracle_VBoxNetLwf","VirtualBox NDIS6 Bridged Networking Driver","False"
"ms_l2bridge","Bridge Driver","False"
"ms_l1vhlwf","Nested Network Virtualization","True"
"NordLwf","NordVPN LightWeight Firewall","False"
"ms_pacer","QoS Packet Scheduler","False"
