"Name","LinkSpeed","Status"
"ZeroTier One [2873fd00f248c740]","100 Mbps","Up"
"Ethernet 2","1 Gbps","Up"
"Local Area Connection 2","1 Gbps","Disconnected"
"vEthernet (Default Switch)","10 Gbps","Up"
"Ethernet","100 Mbps","Up"
"WiFi","0 bps","Disconnected"
"vEthernet (WSL (Hyper-V firewall))","10 Gbps","Up"
"Local Area Connection","0 bps","Not Present"
"Bluetooth Network Connection","3 Mbps","Disconnected"
"Tailscale","100 Gbps","Up"
"OpenVPN Data Channel Offload for NordVPN","1 Gbps","Disconnected"
"vEthernet (New Virtual Switch)","100 Mbps","Up"
