"InterfaceAlias","InterfaceIndex","InterfaceMetric"
"vEthernet (New Virtual Switch) 2","27","15"
"vEthernet (New Virtual Switch)","5","35"
"ZeroTier One [2873fd00f248c740]","32","35"
"Bluetooth Network Connection","14","65"
"Ethernet 2","30","25"
"Tailscale","12","5"
"vEthernet (Default Switch)","40","5000"
"Local Area Connection* 2","21","25"
"Local Area Connection 2","28","25"
"Local Area Connection* 1","16","25"
"OpenVPN Data Channel Offload for NordVPN","10","25"
"Loopback Pseudo-Interface 1","1","75"
